sampleID	assay	hours	replicate	genotype	group	pairs
1	Total	0	1	WT	Total_0	1
7	Total	3	3	WT	Total_3	7
3	Total	6	1	WT	Total_6	3
4	Total	12	1	WT	Total_12	4
5	Total	24	1	WT	Total_24	5
6	Total	0	3	WT	Total_0	6
8	Total	6	3	WT	Total_6	8
9	Total	12	3	WT	Total_12	9
10	Total	24	3	WT	Total_24	10
11	Total	0	2	WT	Total_0	11
12	Total	3	2	WT	Total_3	12
13	Total	6	2	WT	Total_6	13
14	Total	12	2	WT	Total_12	14
15	Total	24	2	WT	Total_24	15
19	IP	0	1	WT	IP_0	1
21	IP	6	1	WT	IP_6	3
22	IP	12	1	WT	IP_12	4
23	IP	24	1	WT	IP_24	5
24	IP	0	3	WT	IP_0	6
25	IP	3	3	WT	IP_3	7
26	IP	6	3	WT	IP_6	8
27	IP	12	3	WT	IP_12	9
28	IP	24	3	WT	IP_24	10
29	IP	0	2	WT	IP_0	11
30	IP	3	2	WT	IP_3	12
31	IP	6	2	WT	IP_6	13
32	IP	12	2	WT	IP_12	14
33	IP	24	2	WT	IP_24	15
